,desc
0,Based on its location—a small largely rural gmina in Ciechanów County (Mazowieckie)—and by analogy with similar Mazovian rural districts (e.g. Niwiski/Mokobody – Medium) Glinojeck would likewise fall into the Medium class.
1,Medium
2,Based on its setting as a small rural locality in Lubliniecki (a predominantly non‐metropolitan district of Śląskie) and by analogy with similar Polish villages (e.g. Rynarcice or Niwiśki which both rate “Medium”) Koszęcin would likewise be assessed as having a Medium share of university‐educated residents.
3,High
4,Answer: High
5,Medium
6,Based on Częstochowa’s size (≈220 k) its local universities and technical colleges and comparing it to similar mid-sized Polish cities (e.g. Radom – High) we’d place the share of tertiary-educated residents in Częstochowa in the “High” class.
7,"Based on Szczyrk’s profile—a small mountain‐resort town with a largely service‐based (tourism) economy moderate population size and no large university or major corporate employers on site—its share of university‐educated residents is likely around the national/regional middle.  

Answer: Medium"
8,Answer: Medium
9,Low
10,"Based on its profile as a small rural locality in one of Poland’s less‐educated voivodeships (Świętokrzyskie) but noting that all Polish villages in the sample fell into at least the “Medium” bracket Rączki would be classed as:

Medium"
11,"Based on the rural character of Dębowa Łąka (a small village in Wąbrzeźno County Kujawsko-pomorskie) – a county without a major university centre nearby – its share of university-educated residents is likely below provincial average but not among the very lowest. This pattern aligns with other similar Polish rural communities (e.g. Rynarcice or Niwiski) which we’ve benchmarked as “Medium.”  

Answer: Medium"
12,Medium
13,Based on its location in the sparsely populated forest‐dominated Tuchola County (Kujawsko-Pomorskie) – a relatively remote low-urbanisation area with below–provincial‐average socio‐economic indicators – the share of university‐educated residents is likely toward the lower end of the Polish scale.  Answer: Low.
14,Answer: Medium
15,Based on its rural setting in Włocławski district (a non‐metropolitan part of Kujawsko-Pomorskie) but still within commuting distance of Bydgoszcz/Toruń (the region’s two academic centers) Wieniec Zalesie would most likely fall into the “Medium” class for share of university‐educated residents.
16,Answer: Medium
17,Medium
18,High
19,Based on its being a small village in the Szamotulski district—much like the other rural spots around mid‐sized county towns (e.g. Rynarcice or Niwiski)—we’d place Chojno in the Medium class.
20,"Based on its largely rural character (despite proximity to the town of Ostrów Wielkopolski) and the benchmarked education levels for similar Polish communes the share of university‐educated residents in Gmina Ostrów Wielkopolski is best classified as:

Medium"
21,Based on its rural setting in Grodzisk Wielkopolski County (Wielkopolskie Voivodeship) the typical share of university-educated adults in Kotusz is around the Polish rural average – neither among the very lowest nor among the top commuter-belt spots.  Answer: Medium.
22,Low
23,Low
24,High
25,"Based on its setting—a small village in a rural district centered on the modestly‐sized town of Drawsko Pomorskie (pop. ~11 000) rather than a major urban or academic hub—and by analogy to other Polish rural localities (which typically score “Medium” in our benchmarks) the share of university‐educated residents in Konotop is best classified as:  
Medium."
26,Based on its location in the Szczecin commuter belt (Goleniów gmina Goleniowski county in Zachodniopomorskie) – a mixed industrial-residential area with above-average access to urban jobs and services – we would expect the share of university graduates to sit above the national median but below the top-tier urban cores.  Answer: High.
27,Based on its status as a small village in the orbit of Koszalin (a ~100 000-inhabitant regional centre) and by analogy with similar Polish localities (e.g. areas around Siedlce being “Medium”) Bonin (76-009 Zachodniopomorskie) would likewise fall into the “Medium” class for the proportion of university-educated residents.
28,Medium
29,Based on the relatively small rural character of Gmina Mojesz in Lwówek Śląski County (Dolnośląskie)—an area with below‐average tertiary‐attainment rates even by regional norms—I would classify its share of university graduates as Low.
