area_name,GRDP,area_id
Budapest,54785.49,HU110
Pest,15287.32,HU120
Fejér,6203.95,HU211
Komárom-Esztergom,4540.12,HU212
Veszprém,3910.52,HU213
Győr-Moson-Sopron,8058.45,HU221
Vas,3387.52,HU222
Zala,2979.01,HU223
Baranya,3635.99,HU231
Somogy,2837.42,HU232
Tolna,2460.92,HU233
Borsod-Abaúj-Zemplén,6626.58,HU311
Heves,3310.82,HU312
Nógrád,1239.99,HU313
Hajdú-Bihar,5633.98,HU321
Jász-Nagykun-Szolnok,3502.54,HU322
Szabolcs-Szatmár-Bereg,4783.36,HU323
Bács-Kiskun,6089.62,HU331
Békés,2870.6,HU332
Csongrád-Csanád,4410.3,HU333
