area_name,population,area_id
Budapest,1722363.0,HU110
Pest,1270416.0,HU120
Fejér,417568.0,HU211
Komárom-Esztergom,301371.0,HU212
Veszprém,341367.0,HU213
Győr-Moson-Sopron,457331.0,HU221
Vas,249429.0,HU222
Zala,266827.0,HU223
Baranya,363203.0,HU231
Somogy,299253.0,HU232
Tolna,215946.0,HU233
Borsod-Abaúj-Zemplén,644955.0,HU311
Heves,293185.0,HU312
Nógrád,187045.0,HU313
Hajdú-Bihar,525661.0,HU321
Jász-Nagykun-Szolnok,368531.0,HU322
Szabolcs-Szatmár-Bereg,545799.0,HU323
Bács-Kiskun,501836.0,HU331
Békés,329742.0,HU332
Csongrád-Csanád,398444.0,HU333
