area_id,area_name,LPR
PL922,Ciechanowski,80.4
PL22C,Tyski,80.3
PL228,Bytomski,78.6
PL229,Gliwicki,80.5
PL22A,Katowicki,80.1
PL22B,Sosnowiecki,79.9
PL224,Częstochowski,79.8
PL225,Bielski,80.8
PL227,Rybnicki,75.8
PL822,Przemyski,76.9
PL622,Olsztyński,78.9
PL722,Sandomiersko-jędrzejowski,78.9
PL616,Grudziądzki,78.0
PL617,Inowrocławski,78.0
PL618,Świecki,78.0
PL613,Bydgosko-toruński,81.4
PL619,Włocławski,76.9
PL414,Koniński,78.6
PL411,Pilski,80.1
PL415,Miasto Poznań,85.6
PL418,Poznański,84.5
PL416,Kaliski,81.2
PL841,Białostocki,81.7
PL417,Leszczyński,83.1
PL623,Ełcki,77.4
PL621,Elbląski,77.7
PL424,Miasto Szczecin,83.1
PL427,Szczecinecko-pyrzycki,76.1
PL428,Szczeciński,78.5
PL426,Koszaliński,79.3
PL842,Łomżyński,80.2
PL515,Jeleniogórski,78.9
PL516,Legnicko-głogowski,79.1
PL518,Wrocławski,83.8
PL517,Wałbrzyski,79.3
PL514,Miasto Wrocław,86.5
PL524,Opolski,82.5
PL523,Nyski,80.1
PL714,Sieradzki,81.8
PL713,Piotrkowski,79.5
PL712,Łódzki,82.7
PL711,Miasto Łódź,83.7
PL715,Skierniewicki,81.8
PL637,Chojnicki,77.8
PL638,Starogardzki,78.3
PL633,Trójmiejski,84.1
PL634,Gdański,80.3
PL636,Słupski,78.7
PL843,Suwalski,79.9
PL431,Gorzowski,80.1
PL432,Zielonogórski,78.9
PL923,Płocki,79.3
PL925,Siedlecki,82.0
PL924,Ostrołęcki,79.7
PL926,Żyrardowski,83.4
PL921,Radomski,78.5
PL721,Kielecki,78.5
PL823,Rzeszowski,80.4
PL821,Krośnieński,75.8
PL824,Tarnobrzeski,78.6
PL811,Bialski,77.3
PL814,Lubelski,80.6
PL812,Chełmsko-zamojski,77.5
PL815,Puławski,79.2
PL217,Tarnowski,80.1
PL214,Krakowski,82.9
PL218,Nowosądecki,78.7
PL219,Nowotarski,80.1
PL21A,Oświęcimski,78.9
PL213,Miasto Kraków,85.2
PL912,Warszawski wschodni,83.9
PL911,Miasto Warszawa,87.0
PL913,Warszawski zachodni,84.6
