area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of building is 0.041
Commercial satelite image count is 72.42
Factory satelite image count is 72.036
Land cover ratio of development is 0.069
Power station satelite image count is 45.33
area of district (km^2) of the given location is 944.275"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of building is 0.052
Commercial satelite image count is 84.282
Factory satelite image count is 64.871
Land cover ratio of development is 0.048
Power station satelite image count is 51.724
area of district (km^2) of the given location is 1577.294"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of building is 0.03
Commercial satelite image count is 114.684
Factory satelite image count is 104.11
Land cover ratio of development is 0.06
Power station satelite image count is 44.096
area of district (km^2) of the given location is 879.221"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of building is 0.075
Commercial satelite image count is 164.937
Factory satelite image count is 112.64
Land cover ratio of development is 0.13
Power station satelite image count is 41.484
area of district (km^2) of the given location is 380.303"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of building is 0.031
Commercial satelite image count is 121.694
Factory satelite image count is 161.954
Land cover ratio of development is 0.063
Power station satelite image count is 99.342
area of district (km^2) of the given location is 1802.048"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of building is 0.027
Commercial satelite image count is 97.478
Factory satelite image count is 75.353
Land cover ratio of development is 0.056
Power station satelite image count is 99.268
area of district (km^2) of the given location is 3048.128"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of building is 0.036
Commercial satelite image count is 98.959
Factory satelite image count is 81.547
Land cover ratio of development is 0.049
Power station satelite image count is 37.594
area of district (km^2) of the given location is 2352.916"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of building is 0.042
Commercial satelite image count is 88.799
Factory satelite image count is 54.265
Land cover ratio of development is 0.072
Power station satelite image count is 51.832
area of district (km^2) of the given location is 1353.139"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of building is 0.007
Commercial satelite image count is 80.523
Factory satelite image count is 69.692
Land cover ratio of development is 0.043
Power station satelite image count is 103.762
area of district (km^2) of the given location is 4053.022"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of building is 0.007
Commercial satelite image count is 78.219
Factory satelite image count is 95.075
Land cover ratio of development is 0.037
Power station satelite image count is 132.034
area of district (km^2) of the given location is 4004.409"
