area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of development is 0.069
Land cover ratio of building is 0.041
Commercial satelite image count is 72.42
distance to the nearest airport is 62.749
Factory satelite image count is 72.036
Agricultural satelite image count is 1528.519
area of district (km^2) of the given location is 944.275"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of development is 0.048
Land cover ratio of building is 0.052
Commercial satelite image count is 84.282
distance to the nearest airport is 90.669
Factory satelite image count is 64.871
Agricultural satelite image count is 2471.674
area of district (km^2) of the given location is 1577.294"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of development is 0.06
Land cover ratio of building is 0.03
Commercial satelite image count is 114.684
distance to the nearest airport is 92.359
Factory satelite image count is 104.11
Agricultural satelite image count is 1627.433
area of district (km^2) of the given location is 879.221"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of development is 0.13
Land cover ratio of building is 0.075
Commercial satelite image count is 164.937
distance to the nearest airport is 59.959
Factory satelite image count is 112.64
Agricultural satelite image count is 73.182
area of district (km^2) of the given location is 380.303"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of development is 0.063
Land cover ratio of building is 0.031
Commercial satelite image count is 121.694
distance to the nearest airport is 48.548
Factory satelite image count is 161.954
Agricultural satelite image count is 2842.958
area of district (km^2) of the given location is 1802.048"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of development is 0.056
Land cover ratio of building is 0.027
Commercial satelite image count is 97.478
distance to the nearest airport is 93.145
Factory satelite image count is 75.353
Agricultural satelite image count is 6391.578
area of district (km^2) of the given location is 3048.128"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of development is 0.049
Land cover ratio of building is 0.036
Commercial satelite image count is 98.959
distance to the nearest airport is 68.587
Factory satelite image count is 81.547
Agricultural satelite image count is 2567.457
area of district (km^2) of the given location is 2352.916"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of development is 0.072
Land cover ratio of building is 0.042
Commercial satelite image count is 88.799
distance to the nearest airport is 99.312
Factory satelite image count is 54.265
Agricultural satelite image count is 2473.693
area of district (km^2) of the given location is 1353.139"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of development is 0.043
Land cover ratio of building is 0.007
Commercial satelite image count is 80.523
distance to the nearest airport is 131.725
Factory satelite image count is 69.692
Agricultural satelite image count is 13696.402
area of district (km^2) of the given location is 4053.022"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of development is 0.037
Land cover ratio of building is 0.007
Commercial satelite image count is 78.219
distance to the nearest airport is 161.216
Factory satelite image count is 95.075
Agricultural satelite image count is 13792.027
area of district (km^2) of the given location is 4004.409"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Land cover ratio of development is 0.04
Land cover ratio of building is 0.014
Commercial satelite image count is 36.735
distance to the nearest airport is 100.271
Factory satelite image count is 47.056
Agricultural satelite image count is 7855.112
area of district (km^2) of the given location is 3341.296"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
Land cover ratio of development is 0.051
Land cover ratio of building is 0.02
Commercial satelite image count is 248.295
distance to the nearest airport is 140.857
Factory satelite image count is 138.838
Agricultural satelite image count is 6431.694
area of district (km^2) of the given location is 2917.507"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
Land cover ratio of development is 0.044
Land cover ratio of building is 0.013
Commercial satelite image count is 68.902
distance to the nearest airport is 107.212
Factory satelite image count is 53.883
Agricultural satelite image count is 13820.178
area of district (km^2) of the given location is 3656.02"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
Land cover ratio of development is 0.042
Land cover ratio of building is 0.012
Commercial satelite image count is 157.91
distance to the nearest airport is 107.304
Factory satelite image count is 138.297
Agricultural satelite image count is 22827.255
area of district (km^2) of the given location is 6397.756"
PL411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL
Sum of nightlight intensity is 37868.207
Average nightlight intensity is 0.713
Land cover ratio of development is 0.032
Land cover ratio of building is 0.023
Commercial satelite image count is 126.366
distance to the nearest airport is 180.39
Factory satelite image count is 126.031
Agricultural satelite image count is 15826.212
area of district (km^2) of the given location is 6457.554"
PL415,"full address of the given location is Boutique, ulica Święty Marcin 51, 61-806, Stare Miasto, Poznań, Wielkopolskie, POL
Sum of nightlight intensity is 42277.07
Average nightlight intensity is 17.929
Land cover ratio of development is 0.242
Land cover ratio of building is 0.069
Commercial satelite image count is 181.599
distance to the nearest airport is 186.126
Factory satelite image count is 71.992
Agricultural satelite image count is 140.306
area of district (km^2) of the given location is 261.95"
PL418,"full address of the given location is Chojno, Wronki, Szamotulski, Wielkopolskie, POL
Sum of nightlight intensity is 86344.523
Average nightlight intensity is 1.849
Land cover ratio of development is 0.045
Land cover ratio of building is 0.023
Commercial satelite image count is 212.512
distance to the nearest airport is 186.098
Factory satelite image count is 231.439
Agricultural satelite image count is 13863.254
area of district (km^2) of the given location is 4928.336"
PL416,"full address of the given location is ulica Kołątajew 60-60, 63-410, Ostrów Wielkopolski gmina, Ostrowski, Wielkopolskie, POL
Sum of nightlight intensity is 60956.836
Average nightlight intensity is 1.593
Land cover ratio of development is 0.04
Land cover ratio of building is 0.019
Commercial satelite image count is 199.882
distance to the nearest airport is 106.695
Factory satelite image count is 199.582
Agricultural satelite image count is 22010.242
area of district (km^2) of the given location is 5785.265"
PL417,"full address of the given location is Kotusz, Kamieniec, Grodziski, Wielkopolskie, POL
Sum of nightlight intensity is 57542.91
Average nightlight intensity is 0.897
Land cover ratio of development is 0.038
Land cover ratio of building is 0.019
Commercial satelite image count is 183.335
distance to the nearest airport is 205.67
Factory satelite image count is 174.835
Agricultural satelite image count is 19666.683
area of district (km^2) of the given location is 5995.168"
PL622,"full address of the given location is Ramsowo, Barczewo, Olsztyński, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 48462.324
Average nightlight intensity is 1.126
Land cover ratio of development is 0.033
Land cover ratio of building is 0.012
Commercial satelite image count is 145.012
distance to the nearest airport is 164.983
Factory satelite image count is 116.186
Agricultural satelite image count is 17670.203
area of district (km^2) of the given location is 10330.453"
PL623,"full address of the given location is Radzie, Wydminy, Giżycki, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 22208.461
Average nightlight intensity is 0.955
Land cover ratio of development is 0.03
Land cover ratio of building is 0.016
Commercial satelite image count is 64.136
distance to the nearest airport is 210.086
Factory satelite image count is 65.035
Agricultural satelite image count is 9674.821
area of district (km^2) of the given location is 6348.487"
PL621,"full address of the given location is Majdany Wielkie, Miłomłyn, Ostródzki, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 41056.133
Average nightlight intensity is 1.041
Land cover ratio of development is 0.039
Land cover ratio of building is 0.01
Commercial satelite image count is 107.461
distance to the nearest airport is 107.741
Factory satelite image count is 119.711
Agricultural satelite image count is 17998.131
area of district (km^2) of the given location is 7333.179"
PL424,"full address of the given location is Dąbie 1, Szczecin, Zachodniopomorskie, POL
Sum of nightlight intensity is 26511.537
Average nightlight intensity is 12.172
Land cover ratio of development is 0.118
Land cover ratio of building is 0.054
Commercial satelite image count is 112.651
distance to the nearest airport is 132.039
Factory satelite image count is 56.646
Agricultural satelite image count is 75.364
area of district (km^2) of the given location is 300.296"
PL427,"full address of the given location is Konotop, Drawsko Pomorskie, Drawski, Zachodniopomorskie, POL
Sum of nightlight intensity is 36309.461
Average nightlight intensity is 0.296
Land cover ratio of development is 0.029
Land cover ratio of building is 0.034
Commercial satelite image count is 102.784
distance to the nearest airport is 194.22
Factory satelite image count is 122.66
Agricultural satelite image count is 16763.13
area of district (km^2) of the given location is 10338.926"
PL428,"full address of the given location is ulica Łęsko, 72-131, Goleniów gmina, Goleniowski, Zachodniopomorskie, POL
Sum of nightlight intensity is 54240.691
Average nightlight intensity is 0.689
Land cover ratio of development is 0.038
Land cover ratio of building is 0.03
Commercial satelite image count is 152.87
distance to the nearest airport is 148.287
Factory satelite image count is 163.885
Agricultural satelite image count is 14092.443
area of district (km^2) of the given location is 7441.324"
