area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of development is 0.069
Land cover ratio of building is 0.041
Commercial satelite image count is 72.42
Factory satelite image count is 72.036
Transportation satelite image count is 231.974
distance to the nearest port is 480.035
distance to the nearest airport is 62.749"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of development is 0.048
Land cover ratio of building is 0.052
Commercial satelite image count is 84.282
Factory satelite image count is 64.871
Transportation satelite image count is 440.764
distance to the nearest port is 424.628
distance to the nearest airport is 90.669"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of development is 0.06
Land cover ratio of building is 0.03
Commercial satelite image count is 114.684
Factory satelite image count is 104.11
Transportation satelite image count is 396.855
distance to the nearest port is 439.659
distance to the nearest airport is 92.359"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of development is 0.13
Land cover ratio of building is 0.075
Commercial satelite image count is 164.937
Factory satelite image count is 112.64
Transportation satelite image count is 225.845
distance to the nearest port is 462.674
distance to the nearest airport is 59.959"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of development is 0.063
Land cover ratio of building is 0.031
Commercial satelite image count is 121.694
Factory satelite image count is 161.954
Transportation satelite image count is 616.186
distance to the nearest port is 442.798
distance to the nearest airport is 48.548"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of development is 0.056
Land cover ratio of building is 0.027
Commercial satelite image count is 97.478
Factory satelite image count is 75.353
Transportation satelite image count is 665.433
distance to the nearest port is 399.878
distance to the nearest airport is 93.145"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of development is 0.049
Land cover ratio of building is 0.036
Commercial satelite image count is 98.959
Factory satelite image count is 81.547
Transportation satelite image count is 310.767
distance to the nearest port is 516.61
distance to the nearest airport is 68.587"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of development is 0.072
Land cover ratio of building is 0.042
Commercial satelite image count is 88.799
Factory satelite image count is 54.265
Transportation satelite image count is 401.395
distance to the nearest port is 457.293
distance to the nearest airport is 99.312"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of development is 0.043
Land cover ratio of building is 0.007
Commercial satelite image count is 80.523
Factory satelite image count is 69.692
Transportation satelite image count is 362.658
distance to the nearest port is 129.594
distance to the nearest airport is 131.725"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of development is 0.037
Land cover ratio of building is 0.007
Commercial satelite image count is 78.219
Factory satelite image count is 95.075
Transportation satelite image count is 425.899
distance to the nearest port is 177.897
distance to the nearest airport is 161.216"
