area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Commercial satelite image count is 72.42
Land cover ratio of building is 0.041
Land cover ratio of development is 0.069
Factory satelite image count is 72.036
distance to the nearest airport is 62.749
Transportation satelite image count is 231.974
area of district (km^2) of the given location is 944.275"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Commercial satelite image count is 84.282
Land cover ratio of building is 0.052
Land cover ratio of development is 0.048
Factory satelite image count is 64.871
distance to the nearest airport is 90.669
Transportation satelite image count is 440.764
area of district (km^2) of the given location is 1577.294"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Commercial satelite image count is 114.684
Land cover ratio of building is 0.03
Land cover ratio of development is 0.06
Factory satelite image count is 104.11
distance to the nearest airport is 92.359
Transportation satelite image count is 396.855
area of district (km^2) of the given location is 879.221"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Commercial satelite image count is 164.937
Land cover ratio of building is 0.075
Land cover ratio of development is 0.13
Factory satelite image count is 112.64
distance to the nearest airport is 59.959
Transportation satelite image count is 225.845
area of district (km^2) of the given location is 380.303"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Commercial satelite image count is 121.694
Land cover ratio of building is 0.031
Land cover ratio of development is 0.063
Factory satelite image count is 161.954
distance to the nearest airport is 48.548
Transportation satelite image count is 616.186
area of district (km^2) of the given location is 1802.048"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Commercial satelite image count is 97.478
Land cover ratio of building is 0.027
Land cover ratio of development is 0.056
Factory satelite image count is 75.353
distance to the nearest airport is 93.145
Transportation satelite image count is 665.433
area of district (km^2) of the given location is 3048.128"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Commercial satelite image count is 98.959
Land cover ratio of building is 0.036
Land cover ratio of development is 0.049
Factory satelite image count is 81.547
distance to the nearest airport is 68.587
Transportation satelite image count is 310.767
area of district (km^2) of the given location is 2352.916"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Commercial satelite image count is 88.799
Land cover ratio of building is 0.042
Land cover ratio of development is 0.072
Factory satelite image count is 54.265
distance to the nearest airport is 99.312
Transportation satelite image count is 401.395
area of district (km^2) of the given location is 1353.139"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Commercial satelite image count is 80.523
Land cover ratio of building is 0.007
Land cover ratio of development is 0.043
Factory satelite image count is 69.692
distance to the nearest airport is 131.725
Transportation satelite image count is 362.658
area of district (km^2) of the given location is 4053.022"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Commercial satelite image count is 78.219
Land cover ratio of building is 0.007
Land cover ratio of development is 0.037
Factory satelite image count is 95.075
distance to the nearest airport is 161.216
Transportation satelite image count is 425.899
area of district (km^2) of the given location is 4004.409"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Commercial satelite image count is 36.735
Land cover ratio of building is 0.014
Land cover ratio of development is 0.04
Factory satelite image count is 47.056
distance to the nearest airport is 100.271
Transportation satelite image count is 616.874
area of district (km^2) of the given location is 3341.296"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
Commercial satelite image count is 248.295
Land cover ratio of building is 0.02
Land cover ratio of development is 0.051
Factory satelite image count is 138.838
distance to the nearest airport is 140.857
Transportation satelite image count is 815.21
area of district (km^2) of the given location is 2917.507"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
Commercial satelite image count is 68.902
Land cover ratio of building is 0.013
Land cover ratio of development is 0.044
Factory satelite image count is 53.883
distance to the nearest airport is 107.212
Transportation satelite image count is 529.468
area of district (km^2) of the given location is 3656.02"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
Commercial satelite image count is 157.91
Land cover ratio of building is 0.012
Land cover ratio of development is 0.042
Factory satelite image count is 138.297
distance to the nearest airport is 107.304
Transportation satelite image count is 1122.243
area of district (km^2) of the given location is 6397.756"
PL411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL
Sum of nightlight intensity is 37868.207
Average nightlight intensity is 0.713
Commercial satelite image count is 126.366
Land cover ratio of building is 0.023
Land cover ratio of development is 0.032
Factory satelite image count is 126.031
distance to the nearest airport is 180.39
Transportation satelite image count is 902.6
area of district (km^2) of the given location is 6457.554"
PL415,"full address of the given location is Boutique, ulica Święty Marcin 51, 61-806, Stare Miasto, Poznań, Wielkopolskie, POL
Sum of nightlight intensity is 42277.07
Average nightlight intensity is 17.929
Commercial satelite image count is 181.599
Land cover ratio of building is 0.069
Land cover ratio of development is 0.242
Factory satelite image count is 71.992
distance to the nearest airport is 186.126
Transportation satelite image count is 170.318
area of district (km^2) of the given location is 261.95"
PL418,"full address of the given location is Chojno, Wronki, Szamotulski, Wielkopolskie, POL
Sum of nightlight intensity is 86344.523
Average nightlight intensity is 1.849
Commercial satelite image count is 212.512
Land cover ratio of building is 0.023
Land cover ratio of development is 0.045
Factory satelite image count is 231.439
distance to the nearest airport is 186.098
Transportation satelite image count is 940.478
area of district (km^2) of the given location is 4928.336"
PL416,"full address of the given location is ulica Kołątajew 60-60, 63-410, Ostrów Wielkopolski gmina, Ostrowski, Wielkopolskie, POL
Sum of nightlight intensity is 60956.836
Average nightlight intensity is 1.593
Commercial satelite image count is 199.882
Land cover ratio of building is 0.019
Land cover ratio of development is 0.04
Factory satelite image count is 199.582
distance to the nearest airport is 106.695
Transportation satelite image count is 813.225
area of district (km^2) of the given location is 5785.265"
PL417,"full address of the given location is Kotusz, Kamieniec, Grodziski, Wielkopolskie, POL
Sum of nightlight intensity is 57542.91
Average nightlight intensity is 0.897
Commercial satelite image count is 183.335
Land cover ratio of building is 0.019
Land cover ratio of development is 0.038
Factory satelite image count is 174.835
distance to the nearest airport is 205.67
Transportation satelite image count is 1006.922
area of district (km^2) of the given location is 5995.168"
PL622,"full address of the given location is Ramsowo, Barczewo, Olsztyński, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 48462.324
Average nightlight intensity is 1.126
Commercial satelite image count is 145.012
Land cover ratio of building is 0.012
Land cover ratio of development is 0.033
Factory satelite image count is 116.186
distance to the nearest airport is 164.983
Transportation satelite image count is 1171.832
area of district (km^2) of the given location is 10330.453"
