area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of building is 0.041
Land cover ratio of development is 0.069
Commercial satelite image count is 72.42"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of building is 0.052
Land cover ratio of development is 0.048
Commercial satelite image count is 84.282"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of building is 0.03
Land cover ratio of development is 0.06
Commercial satelite image count is 114.684"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of building is 0.075
Land cover ratio of development is 0.13
Commercial satelite image count is 164.937"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of building is 0.031
Land cover ratio of development is 0.063
Commercial satelite image count is 121.694"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of building is 0.027
Land cover ratio of development is 0.056
Commercial satelite image count is 97.478"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of building is 0.036
Land cover ratio of development is 0.049
Commercial satelite image count is 98.959"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of building is 0.042
Land cover ratio of development is 0.072
Commercial satelite image count is 88.799"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of building is 0.007
Land cover ratio of development is 0.043
Commercial satelite image count is 80.523"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of building is 0.007
Land cover ratio of development is 0.037
Commercial satelite image count is 78.219"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Land cover ratio of building is 0.014
Land cover ratio of development is 0.04
Commercial satelite image count is 36.735"
