area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Commercial satelite image count is 72.42
Factory satelite image count is 72.036
Land cover ratio of development is 0.069
Land cover ratio of building is 0.041"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Commercial satelite image count is 84.282
Factory satelite image count is 64.871
Land cover ratio of development is 0.048
Land cover ratio of building is 0.052"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Commercial satelite image count is 114.684
Factory satelite image count is 104.11
Land cover ratio of development is 0.06
Land cover ratio of building is 0.03"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Commercial satelite image count is 164.937
Factory satelite image count is 112.64
Land cover ratio of development is 0.13
Land cover ratio of building is 0.075"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Commercial satelite image count is 121.694
Factory satelite image count is 161.954
Land cover ratio of development is 0.063
Land cover ratio of building is 0.031"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Commercial satelite image count is 97.478
Factory satelite image count is 75.353
Land cover ratio of development is 0.056
Land cover ratio of building is 0.027"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Commercial satelite image count is 98.959
Factory satelite image count is 81.547
Land cover ratio of development is 0.049
Land cover ratio of building is 0.036"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Commercial satelite image count is 88.799
Factory satelite image count is 54.265
Land cover ratio of development is 0.072
Land cover ratio of building is 0.042"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Commercial satelite image count is 80.523
Factory satelite image count is 69.692
Land cover ratio of development is 0.043
Land cover ratio of building is 0.007"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Commercial satelite image count is 78.219
Factory satelite image count is 95.075
Land cover ratio of development is 0.037
Land cover ratio of building is 0.007"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Commercial satelite image count is 36.735
Factory satelite image count is 47.056
Land cover ratio of development is 0.04
Land cover ratio of building is 0.014"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
Commercial satelite image count is 248.295
Factory satelite image count is 138.838
Land cover ratio of development is 0.051
Land cover ratio of building is 0.02"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
Commercial satelite image count is 68.902
Factory satelite image count is 53.883
Land cover ratio of development is 0.044
Land cover ratio of building is 0.013"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
Commercial satelite image count is 157.91
Factory satelite image count is 138.297
Land cover ratio of development is 0.042
Land cover ratio of building is 0.012"
PL411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL
Sum of nightlight intensity is 37868.207
Average nightlight intensity is 0.713
Commercial satelite image count is 126.366
Factory satelite image count is 126.031
Land cover ratio of development is 0.032
Land cover ratio of building is 0.023"
PL415,"full address of the given location is Boutique, ulica Święty Marcin 51, 61-806, Stare Miasto, Poznań, Wielkopolskie, POL
Sum of nightlight intensity is 42277.07
Average nightlight intensity is 17.929
Commercial satelite image count is 181.599
Factory satelite image count is 71.992
Land cover ratio of development is 0.242
Land cover ratio of building is 0.069"
PL418,"full address of the given location is Chojno, Wronki, Szamotulski, Wielkopolskie, POL
Sum of nightlight intensity is 86344.523
Average nightlight intensity is 1.849
Commercial satelite image count is 212.512
Factory satelite image count is 231.439
Land cover ratio of development is 0.045
Land cover ratio of building is 0.023"
