area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Agricultural satelite image count is 1528.519
Factory satelite image count is 72.036
Commercial satelite image count is 72.42
Residential satelite image count is 1158.805"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Agricultural satelite image count is 2471.674
Factory satelite image count is 64.871
Commercial satelite image count is 84.282
Residential satelite image count is 1004.998"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Agricultural satelite image count is 1627.433
Factory satelite image count is 104.11
Commercial satelite image count is 114.684
Residential satelite image count is 620.537"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Agricultural satelite image count is 73.182
Factory satelite image count is 112.64
Commercial satelite image count is 164.937
Residential satelite image count is 516.053"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Agricultural satelite image count is 2842.958
Factory satelite image count is 161.954
Commercial satelite image count is 121.694
Residential satelite image count is 1817.461"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Agricultural satelite image count is 6391.578
Factory satelite image count is 75.353
Commercial satelite image count is 97.478
Residential satelite image count is 2545.4"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Agricultural satelite image count is 2567.457
Factory satelite image count is 81.547
Commercial satelite image count is 98.959
Residential satelite image count is 3216.857"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Agricultural satelite image count is 2473.693
Factory satelite image count is 54.265
Commercial satelite image count is 88.799
Residential satelite image count is 1943.382"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Agricultural satelite image count is 13696.402
Factory satelite image count is 69.692
Commercial satelite image count is 80.523
Residential satelite image count is 2032.595"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Agricultural satelite image count is 13792.027
Factory satelite image count is 95.075
Commercial satelite image count is 78.219
Residential satelite image count is 1540.343"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Agricultural satelite image count is 7855.112
Factory satelite image count is 47.056
Commercial satelite image count is 36.735
Residential satelite image count is 1145.779"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
Agricultural satelite image count is 6431.694
Factory satelite image count is 138.838
Commercial satelite image count is 248.295
Residential satelite image count is 2216.197"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
Agricultural satelite image count is 13820.178
Factory satelite image count is 53.883
Commercial satelite image count is 68.902
Residential satelite image count is 1899.865"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
Agricultural satelite image count is 22827.255
Factory satelite image count is 138.297
Commercial satelite image count is 157.91
Residential satelite image count is 3661.964"
PL411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL
Sum of nightlight intensity is 37868.207
Average nightlight intensity is 0.713
Agricultural satelite image count is 15826.212
Factory satelite image count is 126.031
Commercial satelite image count is 126.366
Residential satelite image count is 1828.894"
PL415,"full address of the given location is Boutique, ulica Święty Marcin 51, 61-806, Stare Miasto, Poznań, Wielkopolskie, POL
Sum of nightlight intensity is 42277.07
Average nightlight intensity is 17.929
Agricultural satelite image count is 140.306
Factory satelite image count is 71.992
Commercial satelite image count is 181.599
Residential satelite image count is 433.553"
PL418,"full address of the given location is Chojno, Wronki, Szamotulski, Wielkopolskie, POL
Sum of nightlight intensity is 86344.523
Average nightlight intensity is 1.849
Agricultural satelite image count is 13863.254
Factory satelite image count is 231.439
Commercial satelite image count is 212.512
Residential satelite image count is 2747.735"
PL416,"full address of the given location is ulica Kołątajew 60-60, 63-410, Ostrów Wielkopolski gmina, Ostrowski, Wielkopolskie, POL
Sum of nightlight intensity is 60956.836
Average nightlight intensity is 1.593
Agricultural satelite image count is 22010.242
Factory satelite image count is 199.582
Commercial satelite image count is 199.882
Residential satelite image count is 3431.328"
PL417,"full address of the given location is Kotusz, Kamieniec, Grodziski, Wielkopolskie, POL
Sum of nightlight intensity is 57542.91
Average nightlight intensity is 0.897
Agricultural satelite image count is 19666.683
Factory satelite image count is 174.835
Commercial satelite image count is 183.335
Residential satelite image count is 2202.547"
PL622,"full address of the given location is Ramsowo, Barczewo, Olsztyński, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 48462.324
Average nightlight intensity is 1.126
Agricultural satelite image count is 17670.203
Factory satelite image count is 116.186
Commercial satelite image count is 145.012
Residential satelite image count is 3283.758"
PL623,"full address of the given location is Radzie, Wydminy, Giżycki, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 22208.461
Average nightlight intensity is 0.955
Agricultural satelite image count is 9674.821
Factory satelite image count is 65.035
Commercial satelite image count is 64.136
Residential satelite image count is 1862.519"
PL621,"full address of the given location is Majdany Wielkie, Miłomłyn, Ostródzki, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 41056.133
Average nightlight intensity is 1.041
Agricultural satelite image count is 17998.131
Factory satelite image count is 119.711
Commercial satelite image count is 107.461
Residential satelite image count is 2507.635"
PL424,"full address of the given location is Dąbie 1, Szczecin, Zachodniopomorskie, POL
Sum of nightlight intensity is 26511.537
Average nightlight intensity is 12.172
Agricultural satelite image count is 75.364
Factory satelite image count is 56.646
Commercial satelite image count is 112.651
Residential satelite image count is 365.64"
PL427,"full address of the given location is Konotop, Drawsko Pomorskie, Drawski, Zachodniopomorskie, POL
Sum of nightlight intensity is 36309.461
Average nightlight intensity is 0.296
Agricultural satelite image count is 16763.13
Factory satelite image count is 122.66
Commercial satelite image count is 102.784
Residential satelite image count is 2206.425"
PL428,"full address of the given location is ulica Łęsko, 72-131, Goleniów gmina, Goleniowski, Zachodniopomorskie, POL
Sum of nightlight intensity is 54240.691
Average nightlight intensity is 0.689
Agricultural satelite image count is 14092.443
Factory satelite image count is 163.885
Commercial satelite image count is 152.87
Residential satelite image count is 2227.574"
PL426,"full address of the given location is 76-009, Bonin, Zachodniopomorskie, POL
Sum of nightlight intensity is 28388.244
Average nightlight intensity is 0.871
Agricultural satelite image count is 8305.661
Factory satelite image count is 66.165
Commercial satelite image count is 115.484
Residential satelite image count is 1802.114"
PL515,"full address of the given location is Mojesz, Lwówek Śląski, Lwówecki, Dolnośląskie, POL
Sum of nightlight intensity is 49122.637
Average nightlight intensity is 1.014
Agricultural satelite image count is 10380.073
Factory satelite image count is 85.315
Commercial satelite image count is 114.982
Residential satelite image count is 2701.723"
PL516,"full address of the given location is Rynarcice 28, 59-305, Rynarcice, Rudna, Lubiński, Dolnośląskie, POL
Sum of nightlight intensity is 43408.43
Average nightlight intensity is 2.149
Agricultural satelite image count is 8161.882
Factory satelite image count is 94.22
Commercial satelite image count is 120.462
Residential satelite image count is 1139.981"
PL518,"full address of the given location is ulica Rakowa, 55-114, Wisznia Mała, Trzebnicki, Dolnośląskie, POL
Sum of nightlight intensity is 82137.203
Average nightlight intensity is 2.053
Agricultural satelite image count is 18083.794
Factory satelite image count is 182.073
Commercial satelite image count is 147.155
Residential satelite image count is 3107.056"
PL517,"full address of the given location is Wolibórz, Nowa Ruda, Kłodzki, Dolnośląskie, POL
Sum of nightlight intensity is 43825.867
Average nightlight intensity is 1.509
Agricultural satelite image count is 9709.839
Factory satelite image count is 86.454
Commercial satelite image count is 113.186
Residential satelite image count is 2275.557"
PL514,"full address of the given location is Popowice, Wrocław, Dolnośląskie, POL
Sum of nightlight intensity is 39971.0
Average nightlight intensity is 26.79
Agricultural satelite image count is 184.118
Factory satelite image count is 107.163
Commercial satelite image count is 191.027
Residential satelite image count is 207.935"
PL524,"full address of the given location is ulica Cmentarna 17, 46-042, Szczedrzyk, Ozimek, Opolski, Opolskie, POL
Sum of nightlight intensity is 53955.824
Average nightlight intensity is 1.637
Agricultural satelite image count is 13869.514
Factory satelite image count is 131.643
Commercial satelite image count is 129.809
Residential satelite image count is 2449.165"
PL523,"full address of the given location is Łambinowice, Nyski, Opolskie, POL
Sum of nightlight intensity is 26920.701
Average nightlight intensity is 0.514
Agricultural satelite image count is 13662.592
Factory satelite image count is 78.207
Commercial satelite image count is 82.446
Residential satelite image count is 1411.107"
PL714,"full address of the given location is Wola Będkowska 48a, 98-260, Wola Będkowska, Burzenin, Sieradzki, Łódzkie, POL
Sum of nightlight intensity is 31670.0
Average nightlight intensity is 0.877
Agricultural satelite image count is 20419.039
Factory satelite image count is 66.207
Commercial satelite image count is 84.936
Residential satelite image count is 3553.927"
PL713,"full address of the given location is Łazy Dąbrowa, Sulejów, Piotrkowski, Łódzkie, POL
Sum of nightlight intensity is 53797.18
Average nightlight intensity is 1.161
Agricultural satelite image count is 16035.903
Factory satelite image count is 130.428
Commercial satelite image count is 104.597
Residential satelite image count is 4113.906"
PL712,"full address of the given location is Opole, Parzęczew, Zgierski, Łódzkie, POL
Sum of nightlight intensity is 42138.016
Average nightlight intensity is 2.849
Agricultural satelite image count is 6193.619
Factory satelite image count is 91.019
Commercial satelite image count is 96.812
Residential satelite image count is 2495.581"
PL711,"full address of the given location is Irys Damian Macha, ulica Przędzalniana 63-10, 90-347, Stary Widzew, Łódź, Łódzkie, POL
Sum of nightlight intensity is 52588.203
Average nightlight intensity is 48.335
Agricultural satelite image count is 151.274
Factory satelite image count is 123.503
Commercial satelite image count is 226.578
Residential satelite image count is 429.632"
PL715,"full address of the given location is Skaratki, Domaniewice, Łowicki, Łódzkie, POL
Sum of nightlight intensity is 28926.088
Average nightlight intensity is 0.582
Agricultural satelite image count is 18713.061
Factory satelite image count is 69.813
Commercial satelite image count is 84.394
Residential satelite image count is 2442.064"
PL637,"full address of the given location is Park Narodowy Bory Tucholskie, ulica Długa 33, 89-606, Chojnice gmina, Chojnicki, Pomorskie, POL
Sum of nightlight intensity is 17815.629
Average nightlight intensity is 0.597
Agricultural satelite image count is 7155.744
Factory satelite image count is 45.924
Commercial satelite image count is 48.662
Residential satelite image count is 1381.626"
PL638,"full address of the given location is Szprudowo, Gniew, Tczewski, Pomorskie, POL
Sum of nightlight intensity is 34833.316
Average nightlight intensity is 1.658
Agricultural satelite image count is 11657.39
Factory satelite image count is 87.271
Commercial satelite image count is 81.802
Residential satelite image count is 1920.26"
PL633,"full address of the given location is ulica Obotrycka 15-25, 80-383, Przymorze Małe, Gdańsk, Pomorskie, POL
Sum of nightlight intensity is 66516.195
Average nightlight intensity is 8.979
Agricultural satelite image count is 207.532
Factory satelite image count is 134.553
Commercial satelite image count is 194.825
Residential satelite image count is 524.103"
PL634,"full address of the given location is Warzno, Szemud, Wejherowski, Pomorskie, POL
Sum of nightlight intensity is 60093.168
Average nightlight intensity is 1.198
Agricultural satelite image count is 10847.032
Factory satelite image count is 94.616
Commercial satelite image count is 125.363
Residential satelite image count is 3901.156"
PL636,"full address of the given location is Ochodza, Dębnica Kaszubska, Słupski, Pomorskie, POL
Sum of nightlight intensity is 27908.18
Average nightlight intensity is 1.318
Agricultural satelite image count is 8414.938
Factory satelite image count is 72.784
Commercial satelite image count is 74.903
Residential satelite image count is 1771.958"
PL431,"full address of the given location is Bolemin, Deszczno, Gorzowski, Lubuskie, POL
Sum of nightlight intensity is 39945.203
Average nightlight intensity is 0.935
Agricultural satelite image count is 10294.02
Factory satelite image count is 112.871
Commercial satelite image count is 107.87
Residential satelite image count is 1480.228"
PL432,"full address of the given location is Świdnica, Zielonogórski, Lubuskie, POL
Sum of nightlight intensity is 57037.996
Average nightlight intensity is 1.18
Agricultural satelite image count is 14326.996
Factory satelite image count is 166.923
Commercial satelite image count is 172.506
Residential satelite image count is 2546.046"
PL922,"full address of the given location is ulica Ościsłowo 30A-30A, 06-452, Glinojeck gmina, Ciechanowski, Mazowieckie, POL
Sum of nightlight intensity is 28389.584
Average nightlight intensity is 0.589
Agricultural satelite image count is 21832.574
Factory satelite image count is 121.4
Commercial satelite image count is 76.563
Residential satelite image count is 2578.6"
PL923,"full address of the given location is Trzepowo Nowe, Stara Biała, Płocki, Mazowieckie, POL
Sum of nightlight intensity is 28964.732
Average nightlight intensity is 1.732
Agricultural satelite image count is 13236.067
Factory satelite image count is 58.517
Commercial satelite image count is 77.226
Residential satelite image count is 1780.843"
PL925,"full address of the given location is Niwiski, Mokobody, Siedlecki, Mazowieckie, POL
Sum of nightlight intensity is 25598.051
Average nightlight intensity is 0.358
Agricultural satelite image count is 21772.362
Factory satelite image count is 90.293
Commercial satelite image count is 77.392
Residential satelite image count is 3462.027"
PL924,"full address of the given location is Modzele, Młynarze, Makowski, Mazowieckie, POL
Sum of nightlight intensity is 27902.436
Average nightlight intensity is 0.491
Agricultural satelite image count is 22514.272
Factory satelite image count is 63.91
Commercial satelite image count is 72.368
Residential satelite image count is 3279.205"
PL926,"full address of the given location is Ciemno Gnojna, Mszczonów, Żyrardowski, Mazowieckie, POL
Sum of nightlight intensity is 30572.039
Average nightlight intensity is 0.631
Agricultural satelite image count is 10254.21
Factory satelite image count is 51.897
Commercial satelite image count is 52.726
Residential satelite image count is 1705.102"
PL921,"full address of the given location is ulica 11 Listopada 166-166, 26-613, Radom, Mazowieckie, POL
Sum of nightlight intensity is 45160.605
Average nightlight intensity is 1.553
Agricultural satelite image count is 18023.004
Factory satelite image count is 183.569
Commercial satelite image count is 113.208
Residential satelite image count is 3557.974"
PL721,"full address of the given location is Gruszka, Zagnańsk, Kielecki, Świętokrzyskie, POL
Sum of nightlight intensity is 61564.691
Average nightlight intensity is 1.449
Agricultural satelite image count is 8721.101
Factory satelite image count is 125.037
Commercial satelite image count is 120.436
Residential satelite image count is 3930.024"
PL722,"full address of the given location is Rączki, Kluczewsko, Włoszczowski, Świętokrzyskie, POL
Sum of nightlight intensity is 32591.816
Average nightlight intensity is 0.518
Agricultural satelite image count is 25018.684
Factory satelite image count is 54.972
Commercial satelite image count is 57.139
Residential satelite image count is 3596.047"
PL823,"full address of the given location is Świlcza, Rzeszowski, Podkarpackie, POL
Sum of nightlight intensity is 34949.48
Average nightlight intensity is 2.096
Agricultural satelite image count is 8712.081
Factory satelite image count is 76.989
Commercial satelite image count is 105.252
Residential satelite image count is 3346.173"
PL821,"full address of the given location is Bełchówka, Bukowsko, Sanocki, Podkarpackie, POL
Sum of nightlight intensity is 11827.144
Average nightlight intensity is 0.273
Agricultural satelite image count is 7130.375
Factory satelite image count is 44.44
Commercial satelite image count is 50.383
Residential satelite image count is 2733.952"
PL822,"full address of the given location is ulica Wietlin, 37-512, Laszki, Jarosławski, Podkarpackie, POL
Sum of nightlight intensity is 16016.604
Average nightlight intensity is 0.488
Agricultural satelite image count is 10950.956
Factory satelite image count is 33.113
Commercial satelite image count is 58.977
Residential satelite image count is 2122.443"
