area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of development is 0.069
Commercial satelite image count is 72.42
Factory satelite image count is 72.036
Agricultural satelite image count is 1528.519
Land cover ratio of agricultural is 0.125
Transportation satelite image count is 231.974"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of development is 0.048
Commercial satelite image count is 84.282
Factory satelite image count is 64.871
Agricultural satelite image count is 2471.674
Land cover ratio of agricultural is 0.139
Transportation satelite image count is 440.764"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of development is 0.06
Commercial satelite image count is 114.684
Factory satelite image count is 104.11
Agricultural satelite image count is 1627.433
Land cover ratio of agricultural is 0.192
Transportation satelite image count is 396.855"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of development is 0.13
Commercial satelite image count is 164.937
Factory satelite image count is 112.64
Agricultural satelite image count is 73.182
Land cover ratio of agricultural is 0.025
Transportation satelite image count is 225.845"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of development is 0.063
Commercial satelite image count is 121.694
Factory satelite image count is 161.954
Agricultural satelite image count is 2842.958
Land cover ratio of agricultural is 0.121
Transportation satelite image count is 616.186"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of development is 0.056
Commercial satelite image count is 97.478
Factory satelite image count is 75.353
Agricultural satelite image count is 6391.578
Land cover ratio of agricultural is 0.12
Transportation satelite image count is 665.433"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of development is 0.049
Commercial satelite image count is 98.959
Factory satelite image count is 81.547
Agricultural satelite image count is 2567.457
Land cover ratio of agricultural is 0.082
Transportation satelite image count is 310.767"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of development is 0.072
Commercial satelite image count is 88.799
Factory satelite image count is 54.265
Agricultural satelite image count is 2473.693
Land cover ratio of agricultural is 0.186
Transportation satelite image count is 401.395"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of development is 0.043
Commercial satelite image count is 80.523
Factory satelite image count is 69.692
Agricultural satelite image count is 13696.402
Land cover ratio of agricultural is 0.298
Transportation satelite image count is 362.658"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of development is 0.037
Commercial satelite image count is 78.219
Factory satelite image count is 95.075
Agricultural satelite image count is 13792.027
Land cover ratio of agricultural is 0.286
Transportation satelite image count is 425.899"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Land cover ratio of development is 0.04
Commercial satelite image count is 36.735
Factory satelite image count is 47.056
Agricultural satelite image count is 7855.112
Land cover ratio of agricultural is 0.206
Transportation satelite image count is 616.874"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
Land cover ratio of development is 0.051
Commercial satelite image count is 248.295
Factory satelite image count is 138.838
Agricultural satelite image count is 6431.694
Land cover ratio of agricultural is 0.215
Transportation satelite image count is 815.21"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
Land cover ratio of development is 0.044
Commercial satelite image count is 68.902
Factory satelite image count is 53.883
Agricultural satelite image count is 13820.178
Land cover ratio of agricultural is 0.353
Transportation satelite image count is 529.468"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
Land cover ratio of development is 0.042
Commercial satelite image count is 157.91
Factory satelite image count is 138.297
Agricultural satelite image count is 22827.255
Land cover ratio of agricultural is 0.307
Transportation satelite image count is 1122.243"
PL411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL
Sum of nightlight intensity is 37868.207
Average nightlight intensity is 0.713
Land cover ratio of development is 0.032
Commercial satelite image count is 126.366
Factory satelite image count is 126.031
Agricultural satelite image count is 15826.212
Land cover ratio of agricultural is 0.186
Transportation satelite image count is 902.6"
PL415,"full address of the given location is Boutique, ulica Święty Marcin 51, 61-806, Stare Miasto, Poznań, Wielkopolskie, POL
Sum of nightlight intensity is 42277.07
Average nightlight intensity is 17.929
Land cover ratio of development is 0.242
Commercial satelite image count is 181.599
Factory satelite image count is 71.992
Agricultural satelite image count is 140.306
Land cover ratio of agricultural is 0.052
Transportation satelite image count is 170.318"
PL418,"full address of the given location is Chojno, Wronki, Szamotulski, Wielkopolskie, POL
Sum of nightlight intensity is 86344.523
Average nightlight intensity is 1.849
Land cover ratio of development is 0.045
Commercial satelite image count is 212.512
Factory satelite image count is 231.439
Agricultural satelite image count is 13863.254
Land cover ratio of agricultural is 0.258
Transportation satelite image count is 940.478"
PL416,"full address of the given location is ulica Kołątajew 60-60, 63-410, Ostrów Wielkopolski gmina, Ostrowski, Wielkopolskie, POL
Sum of nightlight intensity is 60956.836
Average nightlight intensity is 1.593
Land cover ratio of development is 0.04
Commercial satelite image count is 199.882
Factory satelite image count is 199.582
Agricultural satelite image count is 22010.242
Land cover ratio of agricultural is 0.369
Transportation satelite image count is 813.225"
PL417,"full address of the given location is Kotusz, Kamieniec, Grodziski, Wielkopolskie, POL
Sum of nightlight intensity is 57542.91
Average nightlight intensity is 0.897
Land cover ratio of development is 0.038
Commercial satelite image count is 183.335
Factory satelite image count is 174.835
Agricultural satelite image count is 19666.683
Land cover ratio of agricultural is 0.302
Transportation satelite image count is 1006.922"
PL622,"full address of the given location is Ramsowo, Barczewo, Olsztyński, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 48462.324
Average nightlight intensity is 1.126
Land cover ratio of development is 0.033
Commercial satelite image count is 145.012
Factory satelite image count is 116.186
Agricultural satelite image count is 17670.203
Land cover ratio of agricultural is 0.099
Transportation satelite image count is 1171.832"
PL623,"full address of the given location is Radzie, Wydminy, Giżycki, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 22208.461
Average nightlight intensity is 0.955
Land cover ratio of development is 0.03
Commercial satelite image count is 64.136
Factory satelite image count is 65.035
Agricultural satelite image count is 9674.821
Land cover ratio of agricultural is 0.092
Transportation satelite image count is 769.166"
PL621,"full address of the given location is Majdany Wielkie, Miłomłyn, Ostródzki, Warmińsko-mazurskie, POL
Sum of nightlight intensity is 41056.133
Average nightlight intensity is 1.041
Land cover ratio of development is 0.039
Commercial satelite image count is 107.461
Factory satelite image count is 119.711
Agricultural satelite image count is 17998.131
Land cover ratio of agricultural is 0.176
Transportation satelite image count is 975.614"
PL424,"full address of the given location is Dąbie 1, Szczecin, Zachodniopomorskie, POL
Sum of nightlight intensity is 26511.537
Average nightlight intensity is 12.172
Land cover ratio of development is 0.118
Commercial satelite image count is 112.651
Factory satelite image count is 56.646
Agricultural satelite image count is 75.364
Land cover ratio of agricultural is 0.012
Transportation satelite image count is 179.56"
