area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Residential satelite image count is 1158.805
Land cover ratio of rangeland is 0.486
area of district (km^2) of the given location is 944.275"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Residential satelite image count is 1004.998
Land cover ratio of rangeland is 0.472
area of district (km^2) of the given location is 1577.294"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Residential satelite image count is 620.537
Land cover ratio of rangeland is 0.498
area of district (km^2) of the given location is 879.221"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Residential satelite image count is 516.053
Land cover ratio of rangeland is 0.62
area of district (km^2) of the given location is 380.303"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Residential satelite image count is 1817.461
Land cover ratio of rangeland is 0.51
area of district (km^2) of the given location is 1802.048"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Residential satelite image count is 2545.4
Land cover ratio of rangeland is 0.569
area of district (km^2) of the given location is 3048.128"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Residential satelite image count is 3216.857
Land cover ratio of rangeland is 0.581
area of district (km^2) of the given location is 2352.916"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Residential satelite image count is 1943.382
Land cover ratio of rangeland is 0.43
area of district (km^2) of the given location is 1353.139"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Residential satelite image count is 2032.595
Land cover ratio of rangeland is 0.447
area of district (km^2) of the given location is 4053.022"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Residential satelite image count is 1540.343
Land cover ratio of rangeland is 0.466
area of district (km^2) of the given location is 4004.409"
