area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Residential satelite image count is 1158.805
area of district (km^2) of the given location is 944.275
Land cover ratio of building is 0.041"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Residential satelite image count is 1004.998
area of district (km^2) of the given location is 1577.294
Land cover ratio of building is 0.052"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Residential satelite image count is 620.537
area of district (km^2) of the given location is 879.221
Land cover ratio of building is 0.03"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Residential satelite image count is 516.053
area of district (km^2) of the given location is 380.303
Land cover ratio of building is 0.075"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Residential satelite image count is 1817.461
area of district (km^2) of the given location is 1802.048
Land cover ratio of building is 0.031"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Residential satelite image count is 2545.4
area of district (km^2) of the given location is 3048.128
Land cover ratio of building is 0.027"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Residential satelite image count is 3216.857
area of district (km^2) of the given location is 2352.916
Land cover ratio of building is 0.036"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Residential satelite image count is 1943.382
area of district (km^2) of the given location is 1353.139
Land cover ratio of building is 0.042"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Residential satelite image count is 2032.595
area of district (km^2) of the given location is 4053.022
Land cover ratio of building is 0.007"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Residential satelite image count is 1540.343
area of district (km^2) of the given location is 4004.409
Land cover ratio of building is 0.007"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Residential satelite image count is 1145.779
area of district (km^2) of the given location is 3341.296
Land cover ratio of building is 0.014"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
Residential satelite image count is 2216.197
area of district (km^2) of the given location is 2917.507
Land cover ratio of building is 0.02"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
Residential satelite image count is 1899.865
area of district (km^2) of the given location is 3656.02
Land cover ratio of building is 0.013"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
Residential satelite image count is 3661.964
area of district (km^2) of the given location is 6397.756
Land cover ratio of building is 0.012"
