area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Population of the area is 392618.0
Factory satelite image count is 72.036
number of hospital is 2.0
Transportation satelite image count is 231.974
Land cover ratio of road is 0.013
area of district (km^2) of the given location is 944.275
Mining satelite image count is 174.807
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
distance to the nearest airport is 62.749
distance to the nearest port is 480.035"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Population of the area is 431037.0
Factory satelite image count is 64.871
number of hospital is 3.0
Transportation satelite image count is 440.764
Land cover ratio of road is 0.009
area of district (km^2) of the given location is 1577.294
Mining satelite image count is 342.781
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
distance to the nearest airport is 90.669
distance to the nearest port is 424.628"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Population of the area is 463141.0
Factory satelite image count is 104.11
number of hospital is 0.0
Transportation satelite image count is 396.855
Land cover ratio of road is 0.014
area of district (km^2) of the given location is 879.221
Mining satelite image count is 224.31
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
distance to the nearest airport is 92.359
distance to the nearest port is 439.659"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Population of the area is 733268.0
Factory satelite image count is 112.64
number of hospital is 4.0
Transportation satelite image count is 225.845
Land cover ratio of road is 0.032
area of district (km^2) of the given location is 380.303
Mining satelite image count is 138.269
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
distance to the nearest airport is 59.959
distance to the nearest port is 462.674"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Population of the area is 675084.0
Factory satelite image count is 161.954
number of hospital is 0.0
Transportation satelite image count is 616.186
Land cover ratio of road is 0.015
area of district (km^2) of the given location is 1802.048
Mining satelite image count is 369.026
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
distance to the nearest airport is 48.548
distance to the nearest port is 442.798"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Population of the area is 510139.0
Factory satelite image count is 75.353
number of hospital is 2.0
Transportation satelite image count is 665.433
Land cover ratio of road is 0.012
area of district (km^2) of the given location is 3048.128
Mining satelite image count is 520.305
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
distance to the nearest airport is 93.145
distance to the nearest port is 399.878"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Population of the area is 661228.0
Factory satelite image count is 81.547
number of hospital is 2.0
Transportation satelite image count is 310.767
Land cover ratio of road is 0.007
area of district (km^2) of the given location is 2352.916
Mining satelite image count is 220.763
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
distance to the nearest airport is 68.587
distance to the nearest port is 516.61"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Population of the area is 622483.0
Factory satelite image count is 54.265
number of hospital is 1.0
Transportation satelite image count is 401.395
Land cover ratio of road is 0.015
area of district (km^2) of the given location is 1353.139
Mining satelite image count is 339.268
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
distance to the nearest airport is 99.312
distance to the nearest port is 457.293"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Population of the area is 383322.0
Factory satelite image count is 69.692
number of hospital is 0.0
Transportation satelite image count is 362.658
Land cover ratio of road is 0.006
area of district (km^2) of the given location is 4053.022
Mining satelite image count is 913.008
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
distance to the nearest airport is 131.725
distance to the nearest port is 129.594"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Population of the area is 359520.0
Factory satelite image count is 95.075
number of hospital is 1.0
Transportation satelite image count is 425.899
Land cover ratio of road is 0.006
area of district (km^2) of the given location is 4004.409
Mining satelite image count is 979.841
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
distance to the nearest airport is 161.216
distance to the nearest port is 177.897"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Population of the area is 185908.0
Factory satelite image count is 47.056
number of hospital is 1.0
Transportation satelite image count is 616.874
Land cover ratio of road is 0.006
area of district (km^2) of the given location is 3341.296
Mining satelite image count is 780.146
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
distance to the nearest airport is 100.271
distance to the nearest port is 105.93"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
Population of the area is 771746.0
Factory satelite image count is 138.838
number of hospital is 7.0
Transportation satelite image count is 815.21
Land cover ratio of road is 0.01
area of district (km^2) of the given location is 2917.507
Mining satelite image count is 580.945
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
distance to the nearest airport is 140.857
distance to the nearest port is 143.83"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
Population of the area is 354937.0
Factory satelite image count is 53.883
number of hospital is 0.0
Transportation satelite image count is 529.468
Land cover ratio of road is 0.007
area of district (km^2) of the given location is 3656.02
Mining satelite image count is 651.379
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
distance to the nearest airport is 107.212
distance to the nearest port is 194.566"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
Population of the area is 652618.0
Factory satelite image count is 138.297
number of hospital is 0.0
Transportation satelite image count is 1122.243
Land cover ratio of road is 0.008
area of district (km^2) of the given location is 6397.756
Mining satelite image count is 1297.805
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
distance to the nearest airport is 107.304
distance to the nearest port is 237.44"
