area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Population of the area is 392618.0
Factory satelite image count is 72.036
Transportation satelite image count is 231.974
Land cover ratio of road is 0.013
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
area of district (km^2) of the given location is 944.275
number of hospital is 2.0"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Population of the area is 431037.0
Factory satelite image count is 64.871
Transportation satelite image count is 440.764
Land cover ratio of road is 0.009
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
area of district (km^2) of the given location is 1577.294
number of hospital is 3.0"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Population of the area is 463141.0
Factory satelite image count is 104.11
Transportation satelite image count is 396.855
Land cover ratio of road is 0.014
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
area of district (km^2) of the given location is 879.221
number of hospital is 0.0"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Population of the area is 733268.0
Factory satelite image count is 112.64
Transportation satelite image count is 225.845
Land cover ratio of road is 0.032
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
area of district (km^2) of the given location is 380.303
number of hospital is 4.0"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Population of the area is 675084.0
Factory satelite image count is 161.954
Transportation satelite image count is 616.186
Land cover ratio of road is 0.015
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
area of district (km^2) of the given location is 1802.048
number of hospital is 0.0"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Population of the area is 510139.0
Factory satelite image count is 75.353
Transportation satelite image count is 665.433
Land cover ratio of road is 0.012
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
area of district (km^2) of the given location is 3048.128
number of hospital is 2.0"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Population of the area is 661228.0
Factory satelite image count is 81.547
Transportation satelite image count is 310.767
Land cover ratio of road is 0.007
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
area of district (km^2) of the given location is 2352.916
number of hospital is 2.0"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Population of the area is 622483.0
Factory satelite image count is 54.265
Transportation satelite image count is 401.395
Land cover ratio of road is 0.015
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
area of district (km^2) of the given location is 1353.139
number of hospital is 1.0"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Population of the area is 383322.0
Factory satelite image count is 69.692
Transportation satelite image count is 362.658
Land cover ratio of road is 0.006
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
area of district (km^2) of the given location is 4053.022
number of hospital is 0.0"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Population of the area is 359520.0
Factory satelite image count is 95.075
Transportation satelite image count is 425.899
Land cover ratio of road is 0.006
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
area of district (km^2) of the given location is 4004.409
number of hospital is 1.0"
