area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Population of the area is 392618.0
Factory satelite image count is 72.036
Land cover ratio of road is 0.013
Land cover ratio of development is 0.069
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
number of hospital is 2.0
area of district (km^2) of the given location is 944.275
Transportation satelite image count is 231.974
Commercial satelite image count is 72.42"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Population of the area is 431037.0
Factory satelite image count is 64.871
Land cover ratio of road is 0.009
Land cover ratio of development is 0.048
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
number of hospital is 3.0
area of district (km^2) of the given location is 1577.294
Transportation satelite image count is 440.764
Commercial satelite image count is 84.282"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Population of the area is 463141.0
Factory satelite image count is 104.11
Land cover ratio of road is 0.014
Land cover ratio of development is 0.06
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
number of hospital is 0.0
area of district (km^2) of the given location is 879.221
Transportation satelite image count is 396.855
Commercial satelite image count is 114.684"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Population of the area is 733268.0
Factory satelite image count is 112.64
Land cover ratio of road is 0.032
Land cover ratio of development is 0.13
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
number of hospital is 4.0
area of district (km^2) of the given location is 380.303
Transportation satelite image count is 225.845
Commercial satelite image count is 164.937"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Population of the area is 675084.0
Factory satelite image count is 161.954
Land cover ratio of road is 0.015
Land cover ratio of development is 0.063
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
number of hospital is 0.0
area of district (km^2) of the given location is 1802.048
Transportation satelite image count is 616.186
Commercial satelite image count is 121.694"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Population of the area is 510139.0
Factory satelite image count is 75.353
Land cover ratio of road is 0.012
Land cover ratio of development is 0.056
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
number of hospital is 2.0
area of district (km^2) of the given location is 3048.128
Transportation satelite image count is 665.433
Commercial satelite image count is 97.478"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Population of the area is 661228.0
Factory satelite image count is 81.547
Land cover ratio of road is 0.007
Land cover ratio of development is 0.049
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
number of hospital is 2.0
area of district (km^2) of the given location is 2352.916
Transportation satelite image count is 310.767
Commercial satelite image count is 98.959"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Population of the area is 622483.0
Factory satelite image count is 54.265
Land cover ratio of road is 0.015
Land cover ratio of development is 0.072
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
number of hospital is 1.0
area of district (km^2) of the given location is 1353.139
Transportation satelite image count is 401.395
Commercial satelite image count is 88.799"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
Population of the area is 383322.0
Factory satelite image count is 69.692
Land cover ratio of road is 0.006
Land cover ratio of development is 0.043
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
number of hospital is 0.0
area of district (km^2) of the given location is 4053.022
Transportation satelite image count is 362.658
Commercial satelite image count is 80.523"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
Population of the area is 359520.0
Factory satelite image count is 95.075
Land cover ratio of road is 0.006
Land cover ratio of development is 0.037
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
number of hospital is 1.0
area of district (km^2) of the given location is 4004.409
Transportation satelite image count is 425.899
Commercial satelite image count is 78.219"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
Population of the area is 185908.0
Factory satelite image count is 47.056
Land cover ratio of road is 0.006
Land cover ratio of development is 0.04
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
number of hospital is 1.0
area of district (km^2) of the given location is 3341.296
Transportation satelite image count is 616.874
Commercial satelite image count is 36.735"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
Population of the area is 771746.0
Factory satelite image count is 138.838
Land cover ratio of road is 0.01
Land cover ratio of development is 0.051
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
number of hospital is 7.0
area of district (km^2) of the given location is 2917.507
Transportation satelite image count is 815.21
Commercial satelite image count is 248.295"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
Population of the area is 354937.0
Factory satelite image count is 53.883
Land cover ratio of road is 0.007
Land cover ratio of development is 0.044
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
number of hospital is 0.0
area of district (km^2) of the given location is 3656.02
Transportation satelite image count is 529.468
Commercial satelite image count is 68.902"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
Population of the area is 652618.0
Factory satelite image count is 138.297
Land cover ratio of road is 0.008
Land cover ratio of development is 0.042
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
number of hospital is 0.0
area of district (km^2) of the given location is 6397.756
Transportation satelite image count is 1122.243
Commercial satelite image count is 157.91"
PL411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL
Population of the area is 406147.0
Factory satelite image count is 126.031
Land cover ratio of road is 0.005
Land cover ratio of development is 0.032
Sum of nightlight intensity is 37868.207
Average nightlight intensity is 0.713
number of hospital is 2.0
area of district (km^2) of the given location is 6457.554
Transportation satelite image count is 902.6
Commercial satelite image count is 126.366"
PL415,"full address of the given location is Boutique, ulica Święty Marcin 51, 61-806, Stare Miasto, Poznań, Wielkopolskie, POL
Population of the area is 535946.0
Factory satelite image count is 71.992
Land cover ratio of road is 0.042
Land cover ratio of development is 0.242
Sum of nightlight intensity is 42277.07
Average nightlight intensity is 17.929
number of hospital is 3.0
area of district (km^2) of the given location is 261.95
Transportation satelite image count is 170.318
Commercial satelite image count is 181.599"
PL418,"full address of the given location is Chojno, Wronki, Szamotulski, Wielkopolskie, POL
Population of the area is 658508.0
Factory satelite image count is 231.439
Land cover ratio of road is 0.008
Land cover ratio of development is 0.045
Sum of nightlight intensity is 86344.523
Average nightlight intensity is 1.849
number of hospital is 0.0
area of district (km^2) of the given location is 4928.336
Transportation satelite image count is 940.478
Commercial satelite image count is 212.512"
PL416,"full address of the given location is ulica Kołątajew 60-60, 63-410, Ostrów Wielkopolski gmina, Ostrowski, Wielkopolskie, POL
Population of the area is 665874.0
Factory satelite image count is 199.582
Land cover ratio of road is 0.006
Land cover ratio of development is 0.04
Sum of nightlight intensity is 60956.836
Average nightlight intensity is 1.593
number of hospital is 4.0
area of district (km^2) of the given location is 5785.265
Transportation satelite image count is 813.225
Commercial satelite image count is 199.882"
PL417,"full address of the given location is Kotusz, Kamieniec, Grodziski, Wielkopolskie, POL
Population of the area is 554079.0
Factory satelite image count is 174.835
Land cover ratio of road is 0.006
Land cover ratio of development is 0.038
Sum of nightlight intensity is 57542.91
Average nightlight intensity is 0.897
number of hospital is 3.0
area of district (km^2) of the given location is 5995.168
Transportation satelite image count is 1006.922
Commercial satelite image count is 183.335"
PL622,"full address of the given location is Ramsowo, Barczewo, Olsztyński, Warmińsko-mazurskie, POL
Population of the area is 606469.0
Factory satelite image count is 116.186
Land cover ratio of road is 0.004
Land cover ratio of development is 0.033
Sum of nightlight intensity is 48462.324
Average nightlight intensity is 1.126
number of hospital is 1.0
area of district (km^2) of the given location is 10330.453
Transportation satelite image count is 1171.832
Commercial satelite image count is 145.012"
PL623,"full address of the given location is Radzie, Wydminy, Giżycki, Warmińsko-mazurskie, POL
Population of the area is 280704.0
Factory satelite image count is 65.035
Land cover ratio of road is 0.004
Land cover ratio of development is 0.03
Sum of nightlight intensity is 22208.461
Average nightlight intensity is 0.955
number of hospital is 2.0
area of district (km^2) of the given location is 6348.487
Transportation satelite image count is 769.166
Commercial satelite image count is 64.136"
PL621,"full address of the given location is Majdany Wielkie, Miłomłyn, Ostródzki, Warmińsko-mazurskie, POL
Population of the area is 517268.0
Factory satelite image count is 119.711
Land cover ratio of road is 0.006
Land cover ratio of development is 0.039
Sum of nightlight intensity is 41056.133
Average nightlight intensity is 1.041
number of hospital is 2.0
area of district (km^2) of the given location is 7333.179
Transportation satelite image count is 975.614
Commercial satelite image count is 107.461"
PL424,"full address of the given location is Dąbie 1, Szczecin, Zachodniopomorskie, POL
Population of the area is 400859.0
Factory satelite image count is 56.646
Land cover ratio of road is 0.025
Land cover ratio of development is 0.118
Sum of nightlight intensity is 26511.537
Average nightlight intensity is 12.172
number of hospital is 0.0
area of district (km^2) of the given location is 300.296
Transportation satelite image count is 179.56
Commercial satelite image count is 112.651"
PL427,"full address of the given location is Konotop, Drawsko Pomorskie, Drawski, Zachodniopomorskie, POL
Population of the area is 418331.0
Factory satelite image count is 122.66
Land cover ratio of road is 0.004
Land cover ratio of development is 0.029
Sum of nightlight intensity is 36309.461
Average nightlight intensity is 0.296
number of hospital is 1.0
area of district (km^2) of the given location is 10338.926
Transportation satelite image count is 1210.262
Commercial satelite image count is 102.784"
PL428,"full address of the given location is ulica Łęsko, 72-131, Goleniów gmina, Goleniowski, Zachodniopomorskie, POL
Population of the area is 506021.0
Factory satelite image count is 163.885
Land cover ratio of road is 0.006
Land cover ratio of development is 0.038
Sum of nightlight intensity is 54240.691
Average nightlight intensity is 0.689
number of hospital is 0.0
area of district (km^2) of the given location is 7441.324
Transportation satelite image count is 1331.323
Commercial satelite image count is 152.87"
PL426,"full address of the given location is 76-009, Bonin, Zachodniopomorskie, POL
Population of the area is 350291.0
Factory satelite image count is 66.165
Land cover ratio of road is 0.006
Land cover ratio of development is 0.038
Sum of nightlight intensity is 28388.244
Average nightlight intensity is 0.871
number of hospital is 0.0
area of district (km^2) of the given location is 4365.807
Transportation satelite image count is 612.936
Commercial satelite image count is 115.484"
PL515,"full address of the given location is Mojesz, Lwówek Śląski, Lwówecki, Dolnośląskie, POL
Population of the area is 552576.0
Factory satelite image count is 85.315
Land cover ratio of road is 0.005
Land cover ratio of development is 0.04
Sum of nightlight intensity is 49122.637
Average nightlight intensity is 1.014
number of hospital is 5.0
area of district (km^2) of the given location is 5570.265
Transportation satelite image count is 998.26
Commercial satelite image count is 114.982"
PL516,"full address of the given location is Rynarcice 28, 59-305, Rynarcice, Rudna, Lubiński, Dolnośląskie, POL
Population of the area is 442785.0
Factory satelite image count is 94.22
Land cover ratio of road is 0.008
Land cover ratio of development is 0.07
Sum of nightlight intensity is 43408.43
Average nightlight intensity is 2.149
number of hospital is 1.0
area of district (km^2) of the given location is 3472.865
Transportation satelite image count is 761.748
Commercial satelite image count is 120.462"
PL518,"full address of the given location is ulica Rakowa, 55-114, Wisznia Mała, Trzebnicki, Dolnośląskie, POL
Population of the area is 589426.0
Factory satelite image count is 182.073
Land cover ratio of road is 0.006
Land cover ratio of development is 0.031
Sum of nightlight intensity is 82137.203
Average nightlight intensity is 2.053
number of hospital is 2.0
area of district (km^2) of the given location is 6433.151
Transportation satelite image count is 1261.464
Commercial satelite image count is 147.155"
PL517,"full address of the given location is Wolibórz, Nowa Ruda, Kłodzki, Dolnośląskie, POL
Population of the area is 641626.0
Factory satelite image count is 86.454
Land cover ratio of road is 0.006
Land cover ratio of development is 0.038
Sum of nightlight intensity is 43825.867
Average nightlight intensity is 1.509
number of hospital is 1.0
area of district (km^2) of the given location is 4180.131
Transportation satelite image count is 583.928
Commercial satelite image count is 113.186"
PL514,"full address of the given location is Popowice, Wrocław, Dolnośląskie, POL
Population of the area is 638659.0
Factory satelite image count is 107.163
Land cover ratio of road is 0.03
Land cover ratio of development is 0.183
Sum of nightlight intensity is 39971.0
Average nightlight intensity is 26.79
number of hospital is 1.0
area of district (km^2) of the given location is 292.068
Transportation satelite image count is 223.748
Commercial satelite image count is 191.027"
PL524,"full address of the given location is ulica Cmentarna 17, 46-042, Szczedrzyk, Ozimek, Opolski, Opolskie, POL
Population of the area is 582325.0
Factory satelite image count is 131.643
Land cover ratio of road is 0.006
Land cover ratio of development is 0.034
Sum of nightlight intensity is 53955.824
Average nightlight intensity is 1.637
number of hospital is 1.0
area of district (km^2) of the given location is 5319.375
Transportation satelite image count is 1169.727
Commercial satelite image count is 129.809"
PL523,"full address of the given location is Łambinowice, Nyski, Opolskie, POL
Population of the area is 363713.0
Factory satelite image count is 78.207
Land cover ratio of road is 0.004
Land cover ratio of development is 0.024
Sum of nightlight intensity is 26920.701
Average nightlight intensity is 0.514
number of hospital is 1.0
area of district (km^2) of the given location is 4092.887
Transportation satelite image count is 634.567
Commercial satelite image count is 82.446"
PL714,"full address of the given location is Wola Będkowska 48a, 98-260, Wola Będkowska, Burzenin, Sieradzki, Łódzkie, POL
Population of the area is 442739.0
Factory satelite image count is 66.207
Land cover ratio of road is 0.007
Land cover ratio of development is 0.042
Sum of nightlight intensity is 31670.0
Average nightlight intensity is 0.877
number of hospital is 0.0
area of district (km^2) of the given location is 5667.626
Transportation satelite image count is 930.599
Commercial satelite image count is 84.936"
PL713,"full address of the given location is Łazy Dąbrowa, Sulejów, Piotrkowski, Łódzkie, POL
Population of the area is 581062.0
Factory satelite image count is 130.428
Land cover ratio of road is 0.009
Land cover ratio of development is 0.049
Sum of nightlight intensity is 53797.18
Average nightlight intensity is 1.161
number of hospital is 1.0
area of district (km^2) of the given location is 5970.336
Transportation satelite image count is 1256.226
Commercial satelite image count is 104.597"
PL712,"full address of the given location is Opole, Parzęczew, Zgierski, Łódzkie, POL
Population of the area is 385629.0
Factory satelite image count is 91.019
Land cover ratio of road is 0.012
Land cover ratio of development is 0.069
Sum of nightlight intensity is 42138.016
Average nightlight intensity is 2.849
number of hospital is 1.0
area of district (km^2) of the given location is 2206.588
Transportation satelite image count is 595.653
Commercial satelite image count is 96.812"
PL711,"full address of the given location is Irys Damian Macha, ulica Przędzalniana 63-10, 90-347, Stary Widzew, Łódź, Łódzkie, POL
Population of the area is 684915.0
Factory satelite image count is 123.503
Land cover ratio of road is 0.044
Land cover ratio of development is 0.351
Sum of nightlight intensity is 52588.203
Average nightlight intensity is 48.335
number of hospital is 2.0
area of district (km^2) of the given location is 293.457
Transportation satelite image count is 149.869
Commercial satelite image count is 226.578"
PL715,"full address of the given location is Skaratki, Domaniewice, Łowicki, Łódzkie, POL
Population of the area is 358822.0
Factory satelite image count is 69.813
Land cover ratio of road is 0.008
Land cover ratio of development is 0.044
Sum of nightlight intensity is 28926.088
Average nightlight intensity is 0.582
number of hospital is 1.0
area of district (km^2) of the given location is 4080.423
Transportation satelite image count is 775.567
Commercial satelite image count is 84.394"
PL637,"full address of the given location is Park Narodowy Bory Tucholskie, ulica Długa 33, 89-606, Chojnice gmina, Chojnicki, Pomorskie, POL
Population of the area is 222635.0
Factory satelite image count is 45.924
Land cover ratio of road is 0.006
Land cover ratio of development is 0.034
Sum of nightlight intensity is 17815.629
Average nightlight intensity is 0.597
number of hospital is 0.0
area of district (km^2) of the given location is 4105.619
Transportation satelite image count is 690.913
Commercial satelite image count is 48.662"
PL638,"full address of the given location is Szprudowo, Gniew, Tczewski, Pomorskie, POL
Population of the area is 425158.0
Factory satelite image count is 87.271
Land cover ratio of road is 0.007
Land cover ratio of development is 0.044
Sum of nightlight intensity is 34833.316
Average nightlight intensity is 1.658
number of hospital is 3.0
area of district (km^2) of the given location is 4101.46
Transportation satelite image count is 689.522
Commercial satelite image count is 81.802"
PL633,"full address of the given location is ulica Obotrycka 15-25, 80-383, Przymorze Małe, Gdańsk, Pomorskie, POL
Population of the area is 745972.0
Factory satelite image count is 134.553
Land cover ratio of road is 0.029
Land cover ratio of development is 0.257
Sum of nightlight intensity is 66516.195
Average nightlight intensity is 8.979
number of hospital is 1.0
area of district (km^2) of the given location is 415.619
Transportation satelite image count is 288.36
Commercial satelite image count is 194.825"
PL634,"full address of the given location is Warzno, Szemud, Wejherowski, Pomorskie, POL
Population of the area is 582378.0
Factory satelite image count is 94.616
Land cover ratio of road is 0.008
Land cover ratio of development is 0.047
Sum of nightlight intensity is 60093.168
Average nightlight intensity is 1.198
number of hospital is 2.0
area of district (km^2) of the given location is 4305.061
Transportation satelite image count is 439.992
Commercial satelite image count is 125.363"
