area_id,score,ground_truth
PL213,High,18127.1
PL214,Medium,7740.73
PL217,Medium,4036.36
PL218,Medium,4791.43
PL219,Medium,2762.39
PL21A,Low,5624.33
PL224,High,6258.67
PL225,Medium,9452.34
PL227,Medium,7702.08
PL228,Medium,4445.67
PL229,Medium,7775.68
PL22A,High,13651.26
PL22B,Medium,8630.03
PL22C,High,6441.87
PL411,Medium,4218.78
PL414,Medium,7250.15
PL415,Very High,14979.24
PL416,Medium,8275.79
PL417,Medium,6910.22
PL418,Medium,11071.54
PL424,Medium,6604.7
PL426,Medium,3992.95
PL427,Low,3444.12
PL428,Medium,5551.52
PL431,Low,4284.7
PL432,Low,7116.19
PL514,High,15573.34
PL515,Low,5908.14
PL517,Low,6437.37
PL518,Medium,8321.86
PL523,Medium,3066.85
PL524,Medium,7729.08
PL613,Medium,10789.85
PL616,Low,3617.0
PL617,Low,3246.09
PL618,Low,2021.36
PL619,Low,3222.53
PL621,Medium,4777.66
PL623,Low,2219.66
PL633,High,15609.61
PL634,Medium,5986.51
PL636,Low,3435.65
PL637,Medium,1994.35
PL638,Medium,4518.21
PL711,High,12294.68
PL712,Low,4482.73
PL713,Low,7554.62
PL714,Low,4244.46
PL715,Low,3545.25
PL721,Low,8151.09
PL722,Low,4119.23
PL811,Low,2473.82
PL812,Low,4481.94
PL814,Low,9029.0
PL815,Low,4063.63
PL821,Low,3849.72
PL822,Low,2802.1
PL823,Medium,7883.17
PL824,Low,6283.03
PL842,Low,3602.97
PL843,Low,2336.68
PL912,Low,7498.75
PL913,Very High,12783.67
PL922,Low,3619.65
PL923,Medium,7160.67
PL924,Low,3915.11
PL926,Low,3040.11
SK010,Very High,26559.8
SK021,High,11060.43
SK022,Low,8160.91
SK023,Medium,10023.67
SK031,High,10700.92
SK032,Low,8097.64
SK041,Low,8732.32
SK042,High,11094.05
CZ010,Very High,61601.72
CZ020,High,26752.43
CZ032,High,10909.61
CZ041,Medium,3897.85
CZ042,High,12384.52
CZ051,Medium,7115.84
CZ052,High,10319.46
CZ063,High,8628.12
CZ064,High,23774.9
CZ071,High,10327.65
CZ072,High,10445.01
CZ080,Medium,19857.55
HU110,Very High,54785.49
HU120,High,15287.32
HU211,High,6203.95
HU212,High,4540.12
HU213,Medium,3910.52
HU221,High,8058.45
HU222,Medium,3387.52
HU223,Medium,2979.01
HU231,Medium,3635.99
HU232,Low,2837.42
HU311,Low,6626.58
HU312,Low,3310.82
HU313,Very Low,1239.99
HU321,Medium,5633.98
HU322,Low,3502.54
HU331,Medium,6089.62
HU332,Low,2870.6
HU333,Medium,4410.3
