area_id,score,ground_truth
PL922,Medium,80.4
PL22C,Very High,80.3
PL228,High,78.6
PL229,Very High,80.5
PL22A,Very High,80.1
PL22B,High,79.9
PL224,High,79.8
PL225,High,80.8
PL227,High,75.8
PL822,Low,76.9
PL622,Medium,78.9
PL722,Low,78.9
PL616,Medium,78.0
PL617,Medium,78.0
PL618,Medium,78.0
PL613,High,81.4
PL619,Medium,76.9
PL415,Very High,85.6
PL418,High,84.5
PL416,High,81.2
PL841,High,81.7
PL417,Very High,83.1
PL623,Low,77.4
PL621,Medium,77.7
PL424,Medium,83.1
PL427,Medium,76.1
PL428,High,78.5
PL426,Medium,79.3
PL842,Low,80.2
PL515,High,78.9
PL516,Very High,79.1
PL518,Very High,83.8
PL514,Very High,86.5
PL524,High,82.5
PL523,High,80.1
PL713,Very High,79.5
PL712,Very High,82.7
PL711,Medium,83.7
PL715,Very High,81.8
PL637,Medium,77.8
PL638,Medium,78.3
PL633,High,84.1
PL634,Very High,80.3
PL636,High,78.7
PL843,Low,79.9
PL431,High,80.1
PL432,Medium,78.9
PL923,High,79.3
PL925,Medium,82.0
PL924,Medium,79.7
PL926,Very High,83.4
PL921,Medium,78.5
PL721,Medium,78.5
PL823,Very High,80.4
PL821,Medium,75.8
PL824,Medium,78.6
PL811,Medium,77.3
PL814,Very High,80.6
PL815,Medium,79.2
PL217,Medium,80.1
PL214,Very High,82.9
PL219,Medium,80.1
PL21A,Very High,78.9
PL213,Very High,85.2
PL911,Very High,87.0
PL913,Very High,84.6
SK010,Very High,80.2
SK021,High,78.1
SK022,High,78.4
SK023,Medium,77.7
SK031,Medium,75.9
SK032,Low,78.3
SK041,Medium,73.6
SK042,Low,71.5
CZ020,Very High,62.2
CZ080,High,59.0
CZ031,Very Low,59.0
CZ032,Medium,60.8
CZ041,Very Low,62.3
CZ042,Very Low,57.3
CZ051,Low,57.6
CZ052,Medium,59.6
CZ053,Medium,60.2
CZ063,Medium,59.5
CZ071,Very Low,58.8
CZ072,Medium,58.4
HU110,Very High,78.4
HU120,High,76.3
HU211,High,76.9
HU212,High,74.3
HU213,Medium,74.8
HU221,High,77.9
HU222,Medium,78.4
HU223,Low,76.2
HU231,Medium,72.9
HU232,Low,66.8
HU233,Low,71.1
HU311,Low,70.2
HU312,Low,73.0
HU321,Medium,72.3
HU323,Low,72.4
HU322,Low,74.5
HU331,Medium,74.8
HU332,Low,74.6
HU333,Medium,73.9
