area_id,score,ground_truth
PL922,Very Low,428
PL22C,Medium,1363
PL228,High,850
PL229,Medium,1459
PL22A,High,2786
PL22B,Medium,1664
PL224,High,805
PL225,Very Low,1542
PL227,High,1681
PL822,Very Low,512
PL622,Low,1252
PL722,Low,459
PL616,Low,863
PL617,Low,605
PL618,Very Low,370
PL613,Low,2190
PL619,Very Low,473
PL415,Very High,2221
PL418,Low,2165
PL416,Medium,1643
PL841,Very Low,1109
PL417,Low,1615
PL623,Very Low,512
PL621,Very Low,1098
PL424,High,986
PL427,Very Low,675
PL428,High,1027
PL426,Very Low,938
PL842,Very Low,720
PL515,Very Low,1049
PL516,High,1643
PL518,Very Low,1755
PL514,High,2382
PL524,Medium,1495
PL523,Low,591
PL713,Low,1057
PL712,Very Low,734
PL711,High,1993
PL715,Very Low,658
PL637,Very Low,578
PL638,Very Low,689
PL633,Very High,2046
PL634,Very Low,948
PL636,Very Low,887
PL843,Very Low,424
PL431,Very Low,700
PL432,Low,1454
PL923,Low,499
PL925,Very Low,653
PL924,Low,493
PL926,Very Low,355
PL921,High,729
PL721,Low,1709
PL823,Very Low,1169
PL821,Very Low,775
PL824,Medium,875
PL811,Very Low,392
PL814,Low,1728
PL815,Very Low,639
PL217,Very Low,568
PL214,Low,834
PL219,Very Low,295
PL21A,Low,967
PL213,High,2144
PL911,Very High,5853
PL913,Medium,1089
SK010,Medium,726
SK021,Medium,1213
SK022,Medium,1847
SK023,Low,1252
SK031,Medium,1420
SK032,Very Low,1332
SK041,Very Low,1359
SK042,High,1013
CZ020,Medium,4329
CZ080,High,4442
CZ031,Medium,3295
CZ032,Medium,3008
CZ041,Medium,1027
CZ042,High,3513
CZ051,Low,1584
CZ052,Medium,2473
CZ053,High,2281
CZ063,Medium,2561
CZ071,Medium,2364
CZ072,High,2360
HU110,Very High,4093
HU120,Medium,2694
HU211,Very Low,1435
HU212,Medium,1055
HU213,Medium,848
HU221,Medium,1460
HU222,Very Low,749
HU223,Very Low,481
HU231,High,964
HU232,Very Low,715
HU233,Very Low,535
HU311,High,1422
HU312,Low,837
HU321,Low,1068
HU323,Low,1055
HU322,Very Low,944
HU331,Medium,1424
HU332,Very Low,650
HU333,Medium,889
